车牌号,运营状态,GPS速度,行驶方向,卫星定位时间,经度,纬度,海拔高度
20665,40.7,138,2020/1/7 23:59,118.193743,24.71637,1,
29007,24.7,208,2020/1/7 23:59,118.16742,24.512831,1,
25822,49.8,328,2020/1/7 23:59,118.080301,24.448848,1,
Q393,0,56,2020/1/7 23:59,118.107993,24.474231,1,
N577,0,330,2020/1/7 23:59,118.158816,24.491103,17,
13592,10.6,350,2020/1/7 23:59,118.135551,24.498841,1,
9528,0,282,2020/1/7 23:59,118.135355,24.513775,1,
Q306,24.6,28,2020/1/7 23:59,118.11517,24.47617,1,
P570,10.1,38,2020/1/7 23:59,118.16848,24.470631,1,
Q889,0,222,2020/1/7 23:59,118.12061,24.481228,1,
H562,3.7,229,2020/1/7 23:59,118.128155,24.536891,1,
N585,28.4,306,2020/1/7 23:59,118.102613,24.598448,2,
R220,26.8,70,2020/1/7 23:59,118.109338,24.523098,2,
N070,0,276,2020/1/7 23:59,118.141015,24.492525,1,
Q699,20.2,134,2020/1/7 23:59,118.092326,24.472775,1,
38682,47.8,92,2020/1/7 23:59,118.141611,24.501151,2,
37731,18.7,214,2020/1/7 23:59,118.120091,24.480466,1,
29007,24.7,208,2020/1/7 23:59,118.16742,24.512831,1,
N280,0,126,2020/1/7 23:59,118.14823,24.490035,2,
K815,46.3,351,2020/1/7 23:59,118.12356,24.503175,1,
13193,21.8,72,2020/1/7 23:59,118.157265,24.477978,2,
Q353,0,348,2020/1/7 23:59,118.141311,24.47972,1,
P966,27.4,236,2020/1/7 23:59,118.068806,24.634305,2,
P159,40.7,240,2020/1/7 23:59,118.166395,24.507333,2,
K026,0,229,2020/1/7 23:59,118.129161,24.538768,1,
L258,48.1,160,2020/1/7 23:59,118.08667,24.470198,2,
L396,1.8,222,2020/1/7 23:59,118.11969,24.479828,1,
P835,32.9,322,2020/1/7 23:59,118.189255,24.47959,1,
Q636,14.4,208,2020/1/7 23:59,118.124875,24.529648,1,
16687,25.8,66,2020/1/7 23:59,118.12958,24.494943,2,
R508,28.1,284,2020/1/7 23:59,118.148001,24.517871,2,
L189,33.3,54,2020/1/7 23:59,118.034873,24.501755,2,
P689,38.7,196,2020/1/7 23:59,118.11708,24.48502,1,
29523,74.9,270,2020/1/7 23:59,118.071915,24.496971,2,
35156,38.7,52,2020/1/7 23:59,118.088763,24.491453,2,
2773,0,86,2020/1/7 23:59,118.122761,24.492178,1,
K225,27.7,273,2020/1/7 23:59,118.237615,24.578406,1,
R306,17,102,2020/1/7 23:59,118.113465,24.482368,1,
L253,0,109,2020/1/7 23:59,118.14043,24.499276,1,
N206,0,352,2020/1/7 23:59,118.181826,24.474918,1,
P883,12.3,72,2020/1/7 23:59,118.112638,24.480681,1,
16126,0,26,2020/1/7 23:59,118.155436,24.479885,1,
P886,0,312,2020/1/7 23:59,118.167941,24.469621,1,
39875,0,0,2020/1/7 23:59,118.133181,24.52962,1,
37216,0,0,2020/1/7 23:59,118.119946,24.427573,1,
L056,12.9,320,2020/1/7 23:59,118.113745,24.47035,2,
L001,0,245,2020/1/7 23:59,118.150033,24.525556,1,
L113,61.1,41,2020/1/7 23:59,118.133673,24.426673,1,
K227,44.4,339,2020/1/7 23:59,118.086189,24.481717,1,
H136,11.7,232,2020/1/7 23:59,118.12526,24.495795,1,
1672,0,275,2020/1/7 23:59,118.12877,24.68263,1,
K058,41.7,255,2020/1/7 23:59,118.105282,24.473557,2,
E888,50.9,238,2020/1/7 23:59,118.160189,24.491897,2,
K096,69.7,23,2020/1/7 23:59,118.092908,24.581854,2,
E868,30.2,344,2020/1/7 23:59,118.15776,24.532783,1,
H636,52.5,73,2020/1/7 23:59,118.0975,24.485343,2,
G291,20.2,274,2020/1/7 23:59,118.137433,24.49328,1,
H807,0.7,329,2020/1/7 23:59,118.147397,24.54618,1,
K569,0.4,200,2020/1/7 23:59,118.155466,24.477183,1,
H539,0.1,307,2020/1/7 23:59,118.048878,24.568523,1,
H967,0,186,2020/1/7 23:59,118.103532,24.514625,2,
H169,20.2,118,2020/1/7 23:59,118.18633,24.500313,1,
J968,44,222,2020/1/7 23:59,118.113194,24.474397,1,
H519,52.7,274,2020/1/7 23:59,118.14901,24.479547,2,
H658,0.9,347,2020/1/7 23:59,118.188487,24.530047,1,
E828,0,32,2020/1/7 23:59,118.014063,24.481538,1,
K278,0.3,241,2020/1/7 23:59,118.133468,24.537135,1,
K110,55.4,354,2020/1/7 23:59,118.073141,24.479751,2,
G758,25.3,51,2020/1/7 23:59,118.092543,24.569582,1,
G862,33.9,136,2020/1/7 23:59,118.077882,24.4545,1,
H556,0,305,2020/1/7 23:59,118.063258,24.606988,1,
H838,0,138,2020/1/7 23:59,118.126078,24.470373,1,
37977,0,116,2020/1/7 23:59,118.165686,24.475443,1,
35868,0,87,2020/1/7 23:59,118.071788,24.481215,1,
E918,0,81,2020/1/7 23:59,118.136677,24.536495,1,
37010,0,0,2020/1/7 23:59,118.153383,24.483951,9,
13926,76.9,144,2020/1/7 23:59,118.149106,24.4542,2,
36583,6.9,252,2020/1/7 23:59,118.098166,24.493143,2,
R275,0,0,2020/1/7 23:59,118.170793,24.477816,1,
N357,32.7,38,2020/1/7 23:59,118.17089,24.508613,1,
28363,0,0,2020/1/7 23:59,118.05549,24.564155,1,
Q965,0,206,2020/1/7 23:59,117.881976,24.526558,1,
K612,0,0,2020/1/7 23:59,118.106498,24.476848,2,
N758,24.5,28,2020/1/7 23:59,118.121415,24.501341,1,
N802,0,0,2020/1/7 23:59,118.070056,24.63868,1,
12903,20.7,334,2020/1/7 23:59,118.1208,24.481811,1,
P108,31.2,90,2020/1/7 23:59,118.096003,24.504845,2,
K780,59.2,93,2020/1/7 23:59,118.153406,24.488685,2,
P605,0,92,2020/1/7 23:59,118.176378,24.477118,9,
10796,0,162,2020/1/7 23:59,118.096086,24.4909,1,
N339,0,308,2020/1/7 23:59,118.135538,24.513775,1,
N988,16.6,46,2020/1/7 23:59,118.12453,24.485466,2,
L318,16.6,6,2020/1/7 23:59,118.119795,24.483271,2,
L511,0,230,2020/1/7 23:59,118.25837,24.591058,2,
N362,42.2,114,2020/1/7 23:59,118.126335,24.499885,2,
K221,0,167,2020/1/7 23:59,118.136191,24.511541,1,
32562,63.2,316,2020/1/7 23:59,118.11699,24.509691,2,
L732,0,297,2020/1/7 23:59,118.130545,24.530126,2,
L081,0,210,2020/1/7 23:59,118.17462,24.46954,1,
R298,0,18,2020/1/7 23:59,118.105655,24.585685,1,
K059,16,68,2020/1/7 23:59,118.108987,24.471104,1,
G876,62.9,208,2020/1/7 23:59,118.217498,24.559615,2,
H616,28.7,123,2020/1/7 23:59,118.138278,24.502132,1,
K702,0,144,2020/1/7 23:59,118.009135,24.529438,1,
E858,0,119,2020/1/7 23:59,118.098232,24.46857,1,
3065,33.6,178,2020/1/7 23:59,118.122931,24.492786,1,
Q683,0,0,2020/1/7 23:59,118.112978,24.497453,2,
L688,0,83,2020/1/7 23:59,118.190298,24.490163,1,
37060,41.6,168,2020/1/7 23:59,118.134318,24.501353,1,
36336,0,36,2020/1/7 23:59,118.139211,24.688575,1,
R809,34.6,82,2020/1/7 23:59,118.123468,24.50207,1,
38891,17.6,198,2020/1/7 23:59,118.079025,24.478025,1,
37735,0,38,2020/1/7 23:59,118.087831,24.518636,1,
P673,0,40,2020/1/7 23:59,118.151523,24.486736,1,
38599,0,124,2020/1/7 23:59,118.157096,24.484963,1,
H710,0,258,2020/1/7 23:59,118.147633,24.545897,1,
M258,0,274,2020/1/7 23:59,118.172645,24.504165,2,
G632,0,13,2020/1/7 23:59,118.236048,24.584025,1,
G868,0,42,2020/1/7 23:59,118.152613,24.498258,1,
G998,0,94,2020/1/7 23:59,118.070623,24.638,1,
G579,3.8,69,2020/1/7 23:59,118.138747,24.538162,2,
H038,17.1,307,2020/1/7 23:59,118.093895,24.51388,1,
11596,41.3,152,2020/1/7 23:59,118.112478,24.490545,1,
7165,0,202,2020/1/7 23:59,118.174696,24.469651,1,
G867,45.2,264,2020/1/7 23:59,118.147675,24.501875,2,
L225,44.4,136,2020/1/7 23:59,118.142655,24.543563,2,
L997,25.9,35,2020/1/7 23:59,118.0791,24.443933,2,
G531,61.1,16,2020/1/7 23:59,118.170523,24.497358,2,
R796,8.9,144,2020/1/7 23:59,118.145016,24.54661,1,
G999,1.6,329,2020/1/7 23:59,118.14288,24.723172,1,
K690,7.4,275,2020/1/7 23:59,118.176966,24.492405,1,
N026,23,230,2020/1/7 23:59,118.143481,24.523388,1,
M295,83.3,135,2020/1/7 23:59,118.07412,24.62672,2,
Q761,0,28,2020/1/7 23:59,118.127666,24.498885,1,
R319,49,338,2020/1/7 23:59,118.10417,24.466056,1,
P575,0,4,2020/1/7 23:59,118.0995,24.489278,1,
R711,22.6,30,2020/1/7 23:59,118.129585,24.537036,1,
N828,0,236,2020/1/7 23:59,118.128771,24.538455,1,
N956,34.7,346,2020/1/7 23:59,118.097858,24.493316,2,
H972,33.3,301,2020/1/7 23:59,118.12549,24.48331,2,
23721,4.6,72,2020/1/7 23:59,118.151565,24.486763,1,
Q285,18.2,316,2020/1/7 23:59,118.093936,24.467686,1,
N088,0,78,2020/1/7 23:59,118.104978,24.490903,1,
P716,25.4,324,2020/1/7 23:59,118.17198,24.505546,2,
Q068,67.7,92,2020/1/7 23:59,118.155155,24.488611,2,
23655,17.1,168,2020/1/7 23:59,118.150528,24.516678,1,
P155,14.8,200,2020/1/7 23:59,118.075185,24.458256,1,
N928,0,330,2020/1/7 23:59,118.418715,24.629321,9,
P898,21.5,128,2020/1/7 23:59,118.131478,24.53809,1,
N770,17.3,228,2020/1/7 23:59,118.150966,24.525836,2,
L660,72.2,155,2020/1/7 23:59,118.184291,24.509413,1,
P638,26.4,334,2020/1/7 23:59,118.14784,24.545596,1,
16507,0,0,2020/1/7 23:59,118.144455,24.547503,1,
K833,27.7,72,2020/1/7 23:59,118.104995,24.464718,2,
32210,64.8,356,2020/1/7 23:59,118.160531,24.44827,1,
H359,0,0,2020/1/7 23:59,0,0,1,
H398,55.8,211,2020/1/7 23:59,118.145166,24.474038,1,
H382,27.7,221,2020/1/7 23:59,118.120993,24.489598,1,
H022,0,103,2020/1/7 23:59,118.13497,24.515715,1,
H235,39.9,196,2020/1/7 23:59,118.11662,24.483933,1,
H858,0,344,2020/1/7 23:59,118.099577,24.489302,1,
H860,0.3,302,2020/1/7 23:59,118.131305,24.537907,1,
H208,77.3,350,2020/1/7 23:59,118.132938,24.506092,2,
32272,0,261,2020/1/7 23:59,118.034636,24.495368,1,
K279,0,80,2020/1/7 23:59,118.126978,24.494401,2,
K595,55.5,167,2020/1/7 23:59,118.0893,24.486713,2,
23330,0.2,188,2020/1/7 23:59,118.10351,24.514815,1,
39655,59.2,314,2020/1/7 23:59,118.100108,24.55711,1,
K308,20.2,294,2020/1/7 23:59,117.989832,24.523222,2,
H910,11.1,61,2020/1/7 23:59,118.126983,24.494525,2,
H011,52.1,105,2020/1/7 23:59,118.155047,24.478408,2,
H635,31.7,329,2020/1/7 23:59,118.169308,24.487535,2,
H518,39.3,80,2020/1/7 23:59,118.151855,24.483213,1,
G577,42.5,196,2020/1/7 23:59,118.117028,24.48483,2,
M037,31.4,281,2020/1/7 23:59,118.10968,24.514195,2,
KK06,0,0,2020/1/7 23:59,118.099175,24.597576,1,
G810,0,321,2020/1/7 23:59,118.147037,24.546642,1,
H059,0,80,2020/1/7 23:59,118.19919,24.574817,1,
G669,36.8,73,2020/1/7 23:59,118.130857,24.51006,1,
H255,3.1,0,2020/1/7 23:59,118.149062,24.506344,1,
G972,4,220,2020/1/7 23:59,118.134038,24.511042,1,
G860,83.3,178,2020/1/7 23:59,118.132437,24.51174,2,
G993,56.9,168,2020/1/7 23:59,118.120715,24.50487,1,
18191,0,225,2020/1/7 23:59,118.180178,24.480568,1,
L321,0,0,2020/1/7 23:59,118.129256,24.507105,1,
K126,67.8,98,2020/1/7 23:59,118.124073,24.479073,2,
H012,3.3,92,2020/1/7 23:59,118.082477,24.501827,2,
G990,56.7,95,2020/1/7 23:59,118.137292,24.501378,2,
G927,4.2,194,2020/1/7 23:59,118.096627,24.53226,2,
30930,0,159,2020/1/7 23:59,118.171278,24.51178,1,
G852,53.1,16,2020/1/7 23:59,118.116853,24.484305,2,
G825,0,74,2020/1/7 23:59,118.135643,24.51326,1,
G890,14.8,179,2020/1/7 23:59,118.125763,24.50608,2,
G780,0,238,2020/1/7 23:59,118.07092,24.638272,1,
G973,11.8,163,2020/1/7 23:59,118.129197,24.49663,1,
G719,0,234,2020/1/7 23:59,118.168043,24.472445,1,
G725,0,182,2020/1/7 23:59,118.122227,24.49618,1,
1770,49.8,190,2020/1/7 23:59,118.135558,24.688331,1,
13181,0,276,2020/1/7 23:59,118.154793,24.48881,1,
Q769,0,94,2020/1/7 23:59,114.852063,32.477563,2,
K801,0,310,2020/1/7 23:59,118.154093,24.483676,1,
R811,41.3,220,2020/1/7 23:59,118.096958,24.465083,1,
Q392,52.2,194,2020/1/7 23:59,118.032638,24.472416,2,
436,12.9,199,2020/1/7 23:59,118.126061,24.53205,1,
30263,0,8,2020/1/7 23:59,118.112971,24.521265,1,
L733,33.3,109,2020/1/7 23:59,118.08239,24.50168,1,
N328,0,256,2020/1/7 23:59,118.098576,24.485813,1,
R300,29.1,26,2020/1/7 23:59,118.16605,24.471146,1,
11308,0,222,2020/1/7 23:59,118.128875,24.538321,1,
P219,0,0,2020/1/7 23:59,118.104716,24.526975,1,
27073,71.8,8,2020/1/7 23:59,118.15446,24.502421,2,
N307,0,322,2020/1/7 23:59,118.146301,24.547315,1,
5021,0,260,2020/1/7 23:59,118.104768,24.523355,1,
Q735,27.9,242,2020/1/7 23:59,118.02906,24.489953,2,
Q638,53.8,342,2020/1/7 23:59,118.150028,24.52897,1,
P788,0,154,2020/1/7 23:59,118.128001,24.537186,1,
N760,58.8,314,2020/1/7 23:59,118.07102,24.4544,2,
1770,49.8,190,2020/1/7 23:59,118.135558,24.688331,1,
P706,19.4,148,2020/1/7 23:59,118.122838,24.501773,1,
16938,0,70,2020/1/7 23:59,118.10765,24.47412,2,
N908,4.9,186,2020/1/7 23:59,118.172786,24.469413,1,
Q798,15.3,260,2020/1/7 23:59,117.959833,24.535988,1,
28923,65.7,10,2020/1/7 23:59,118.183571,24.492395,2,
P789,39.4,252,2020/1/7 23:59,118.143178,24.53452,2,
L719,18.5,250,2020/1/7 23:59,118.103596,24.470696,1,
Q103,10.1,44,2020/1/7 23:59,118.130248,24.532763,1,
P055,0,18,2020/1/7 23:59,118.175848,24.47598,1,
30517,39,34,2020/1/7 23:59,118.085448,24.506256,2,
Q077,37.8,216,2020/1/7 23:59,118.120953,24.620151,1,
19311,30.9,272,2020/1/7 23:59,118.114588,24.482313,2,
L389,0,320,2020/1/7 23:59,118.147158,24.546476,1,
L555,0,346,2020/1/7 23:59,118.141156,24.494578,2,
7716,0,256,2020/1/7 23:59,118.113236,24.470088,2,
P786,22,198,2020/1/7 23:59,118.114755,24.481423,2,
N881,9.1,222,2020/1/7 23:59,118.12336,24.491935,2,
Q191,0,282,2020/1/7 23:59,118.125748,24.506631,1,
N066,0,298,2020/1/7 23:59,118.179598,24.492956,1,
Q875,0,0,2020/1/7 23:59,118.23689,24.665311,1,
P192,0,324,2020/1/7 23:59,118.147468,24.54613,1,
N976,0,356,2020/1/7 23:59,118.162696,24.481085,1,
Q339,50.8,228,2020/1/7 23:59,118.081296,24.454423,2,
P001,17.9,12,2020/1/7 23:59,118.166645,24.478526,2,
M233,0,245,2020/1/7 23:59,118.128883,24.53853,1,
N022,90.6,240,2020/1/7 23:59,117.861516,24.537981,2,
P998,32.7,188,2020/1/7 23:59,118.073765,24.467798,1,
L986,22.2,79,2020/1/7 23:59,118.042415,24.489255,1,
Q357,0,342,2020/1/7 23:59,118.131103,24.538518,1,
N938,31.6,162,2020/1/7 23:59,118.147365,24.47906,1,
39187,28.1,110,2020/1/7 23:59,118.107616,24.517511,1,
Q862,26.1,270,2020/1/7 23:59,118.125271,24.506638,2,
26652,0,0,2020/1/7 23:59,118.13268,24.666275,1,
R706,38.5,54,2020/1/7 23:59,118.047298,24.498603,2,
20320,0,0,2020/1/7 23:59,118.088908,24.488936,1,
K268,87,185,2020/1/7 23:59,118.13239,24.498481,2,
L585,0,230,2020/1/7 23:59,118.133753,24.537431,1,
P585,70.7,270,2020/1/7 23:59,118.074326,24.496975,2,
P165,4.4,80,2020/1/7 23:59,118.118563,24.467981,2,
N356,37.9,188,2020/1/7 23:59,118.115211,24.478741,2,
32910,0,0,2020/1/7 23:59,118.10172,24.492363,1,
P113,40.9,254,2020/1/7 23:59,118.126073,24.476408,2,
36822,0,0,2020/1/7 23:59,118.098118,24.468343,1,
K727,20.3,340,2020/1/7 23:59,118.103581,24.513971,2,
L139,0,346,2020/1/7 23:59,118.120376,24.492178,1,
16506,3.7,68,2020/1/7 23:59,118.105208,24.490965,1,
12969,0,178,2020/1/7 23:59,118.093613,24.518738,2,
1770,49.8,190,2020/1/7 23:59,118.135558,24.688331,2,
L275,24,208,2020/1/7 23:59,118.144861,24.501505,1,
R066,0,0,2020/1/7 23:59,118.117751,24.4793,1,
R672,0,0,2020/1/7 23:59,118.152251,24.488861,1,
L327,42.5,234,2020/1/7 23:59,118.151951,24.498186,1,
37731,15.9,208,2020/1/7 23:59,118.120116,24.480503,1,
M118,0,246,2020/1/7 23:59,118.129306,24.538825,1,
386,10.2,102,2020/1/7 23:59,118.13781,24.511246,2,
K635,0,260,2020/1/7 23:59,118.076696,24.498923,1,
Q890,0,224,2020/1/7 23:59,118.124488,24.491458,2,
18320,0,188,2020/1/7 23:59,118.12794,24.500971,1,
R651,0,0,2020/1/7 23:59,118.119188,24.430905,1,
L610,0,319,2020/1/7 23:59,118.146308,24.54745,1,
H901,0,151,2020/1/7 23:59,118.15725,24.511431,2,
Q890,0,224,2020/1/7 23:59,118.124488,24.491458,2,
35773,29,290,2020/1/7 23:59,118.157521,24.476978,1,
K171,0,246,2020/1/7 23:59,118.13232,24.520656,1,
33268,25.9,249,2020/1/7 23:59,118.132623,24.536485,1,
K075,90.7,83,2020/1/7 23:59,118.147196,24.501503,2,
18320,0,188,2020/1/7 23:59,118.12794,24.500971,1,
12969,0,178,2020/1/7 23:59,118.093613,24.518738,2,
21865,0,259,2020/1/7 23:59,118.1254,24.479161,2,
L637,0,305,2020/1/7 23:59,118.030076,24.575225,2,
P982,0,334,2020/1/7 23:59,118.078575,24.453403,1,
L028,29.6,97,2020/1/7 23:59,118.097073,24.531663,1,
N958,0,72,2020/1/7 23:59,118.104571,24.490796,1,
Q302,22.4,170,2020/1/7 23:59,118.127311,24.496551,2,
12977,0,76,2020/1/7 23:59,118.04429,24.597536,1,
Q599,0,34,2020/1/7 23:59,118.12236,24.496688,1,
Q326,0,4,2020/1/7 23:59,118.156481,24.488573,1,
Q038,55.7,150,2020/1/7 23:59,118.094096,24.47649,2,
K538,87,279,2020/1/7 23:59,117.996105,24.491461,1,
11576,0,148,2020/1/7 23:59,118.137038,24.52415,1,
Q323,0,222,2020/1/7 23:59,118.132701,24.536936,1,
13236,0,0,2020/1/7 23:59,118.157093,24.484493,1,
K337,0,25,2020/1/7 23:59,118.153561,24.484356,8,
1770,49.8,190,2020/1/7 23:59,118.135558,24.688331,2,
Q715,0,0,2020/1/7 23:59,118.085338,24.623421,1,
P292,66.2,316,2020/1/7 23:59,118.071875,24.628861,2,
B921,31.6,119,2020/1/7 23:59,118.115477,24.47441,1,
35705,60.9,96,2020/1/7 23:59,118.050085,24.573206,1,
R702,0,30,2020/1/7 23:59,118.140483,24.491903,1,
R219,16.9,24,2020/1/7 23:59,118.089318,24.486921,1,
N138,16.9,184,2020/1/7 23:59,118.086296,24.471323,2,
P667,0,70,2020/1/7 23:59,118.116156,24.508266,1,
36982,27.8,274,2020/1/7 23:59,118.121646,24.509173,2,
R811,41.3,220,2020/1/7 23:59,118.096958,24.465083,1,
H661,3.3,357,2020/1/7 23:59,118.11643,24.48222,1,
6086,39.1,346,2020/1/7 23:59,118.120103,24.448005,2,
Q091,27.3,74,2020/1/7 23:59,118.100823,24.475331,2,
12519,14.9,122,2020/1/7 23:59,118.072265,24.453171,2,
6887,0,296,2020/1/7 23:59,118.114568,24.474678,1,
M232,0,221,2020/1/7 23:59,118.128396,24.537771,1,
20272,0,182,2020/1/7 23:59,118.129033,24.538348,1,
R196,0,0,2020/1/7 23:59,118.113215,24.478951,1,
R569,48.8,84,2020/1/7 23:59,118.120368,24.479178,1,
P910,18.9,98,2020/1/7 23:59,118.154228,24.506383,2,
R220,25.2,76,2020/1/7 23:59,118.10927,24.523073,2,
33167,19.5,312,2020/1/7 23:59,118.097985,24.49295,2,
39303,64.2,186,2020/1/7 23:59,118.147683,24.48718,2,
31616,0,188,2020/1/7 23:59,118.09538,24.467568,1,
13633,0,0,2020/1/7 23:59,117.965455,24.479801,1,
E989,9.6,235,2020/1/7 23:59,118.122577,24.504845,1,
K919,0,0,2020/1/7 23:59,118.136508,24.512301,8,
H903,29.6,313,2020/1/7 23:59,118.160364,24.526767,1,
30317,0,76,2020/1/7 23:59,118.13617,24.501513,2,
H398,55.8,211,2020/1/7 23:59,118.145166,24.474038,1,
H619,51,269,2020/1/7 23:59,118.131102,24.495063,2,
H828,41.5,76,2020/1/7 23:59,118.083908,24.464597,1,
K228,0,335,2020/1/7 23:59,118.145412,24.527403,1,
3790,0,0,2020/1/7 23:59,117.965393,24.479731,1,
H096,0.1,276,2020/1/7 23:59,118.132727,24.495033,2,
H396,0,91,2020/1/7 23:59,118.146962,24.47963,2,
H510,0.1,320,2020/1/7 23:59,118.147191,24.546697,1,
E777,69.4,163,2020/1/7 23:59,118.182942,24.496763,2,
H775,26.3,344,2020/1/7 23:59,118.110693,24.486498,1,
E956,0,318,2020/1/7 23:59,118.03828,24.483407,2,
H669,23.8,231,2020/1/7 23:59,118.07616,24.452405,1,
J098,72.9,42,2020/1/7 23:59,118.177132,24.512163,2,
H965,73.6,242,2020/1/7 23:59,118.123617,24.528703,2,
K030,0.2,164,2020/1/7 23:59,118.1221,24.495917,1,
32282,0,0,2020/1/7 23:59,118.043891,24.586938,1,
39137,0,0,2020/1/7 23:59,118.179711,24.493188,1,
Q725,32.6,62,2020/1/7 23:59,118.109416,24.463993,2,
N939,4.8,30,2020/1/7 23:59,117.97843,24.602006,9,
K879,0,320,2020/1/7 23:59,118.147006,24.54665,1,
K387,0,304,2020/1/7 23:59,118.030841,24.586515,2,
H756,1,218,2020/1/7 23:59,118.119632,24.479742,2,
K291,38.8,69,2020/1/7 23:59,118.112928,24.522855,2,
L781,0,321,2020/1/7 23:59,118.147136,24.546356,1,
K605,29.6,183,2020/1/7 23:59,118.06826,24.636148,2,
L136,0,215,2020/1/7 23:59,118.084556,24.438495,1,
G896,28.4,279,2020/1/7 23:59,118.085843,24.481992,2,
Q269,63.6,230,2020/1/7 23:59,118.132383,24.534818,2,
L690,29.6,244,2020/1/7 23:59,118.06878,24.634318,2,
P088,0,0,2020/1/7 23:59,118.128698,24.538458,1,
N265,0,4,2020/1/7 23:59,118.170358,24.477808,1,
H791,18.5,303,2020/1/7 23:59,117.954741,24.484903,2,
P266,0,324,2020/1/7 23:59,118.146578,24.547081,1,
K713,0,325,2020/1/7 23:59,118.13261,24.53683,1,
N255,0,82,2020/1/7 23:59,118.095626,24.529578,1,
Q378,0,202,2020/1/7 23:59,118.133391,24.537078,1,
N850,36.5,48,2020/1/7 23:59,118.086378,24.482105,2,
Q700,59,182,2020/1/7 23:59,118.147606,24.486873,2,
L932,20.3,311,2020/1/7 23:59,118.083071,24.456635,2,
H509,0.7,11,2020/1/7 23:59,118.128957,24.506304,1,
H536,0.1,70,2020/1/7 23:59,118.120778,24.519003,1,
L559,0,57,2020/1/7 23:59,118.147046,24.54442,1,
K922,0,275,2020/1/7 23:59,118.163108,24.484728,1,
L982,0,265,2020/1/7 23:59,118.056865,24.583175,1,
K737,40.7,296,2020/1/7 23:59,118.164983,24.47563,1,
20363,8,171,2020/1/7 23:59,118.085994,24.588226,1,
32277,0,341,2020/1/7 23:59,118.145195,24.533795,1,
23003,0,19,2020/1/7 23:59,118.11493,24.541233,1,
R821,54.6,14,2020/1/7 23:59,118.14139,24.494161,2,
R800,0,198,2020/1/7 23:59,118.149345,24.49376,1,
37306,0,0,2020/1/7 23:59,118.106751,24.471703,1,
K015,0,53,2020/1/7 23:59,118.11092,24.472118,1,
K202,50,135,2020/1/7 23:59,118.119255,24.507286,1,
N032,0,272,2020/1/7 23:59,118.117676,24.485323,2,
N085,0,252,2020/1/7 23:59,118.115721,24.438985,2,
K665,42.5,228,2020/1/7 23:59,118.112486,24.473856,1,
N288,0,256,2020/1/7 23:59,118.029853,24.566498,1,
6885,0,316,2020/1/7 23:59,118.131653,24.537928,1,
13860,0,179,2020/1/7 23:59,117.95893,24.531665,1,
H933,0.1,149,2020/1/7 23:59,118.105927,24.490705,1,
J088,2.1,325,2020/1/7 23:59,118.113565,24.488982,2,
H236,36.4,44,2020/1/7 23:59,118.083242,24.443613,1,
35501,0,206,2020/1/7 23:59,118.147291,24.710076,1,
H122,0,95,2020/1/7 23:59,118.11598,24.544523,2,
J111,24.7,69,2020/1/7 23:59,118.119727,24.487773,1,
H853,0,170,2020/1/7 23:59,118.123173,24.50515,1,
H662,44,266,2020/1/7 23:59,118.095573,24.505067,2,
37376,0,23,2020/1/7 23:59,118.102835,24.526076,1,
H189,0.2,223,2020/1/7 23:59,118.132995,24.53688,1,
H035,37.2,81,2020/1/7 23:59,118.095698,24.471333,1,
H011,54.8,106,2020/1/7 23:59,118.154903,24.478437,2,
K186,21.4,72,2020/1/7 23:59,118.076708,24.468735,1,
FY05,0,0,2020/1/7 23:59,118.24655,24.641661,1,
L121,0,0,2020/1/7 23:59,118.02164,24.479098,1,
K512,0,0,2020/1/7 23:59,117.884861,24.510023,1,
G830,0,231,2020/1/7 23:59,118.132535,24.512563,1,
G816,80.2,92,2020/1/7 23:59,118.152223,24.50182,2,
G981,0,256,2020/1/7 23:59,118.140033,24.4792,1,
H555,0,265,2020/1/7 23:59,118.030673,24.49087,1,
H031,26.2,13,2020/1/7 23:59,118.089515,24.48672,2,
H579,2.5,330,2020/1/7 23:59,118.113877,24.488478,1,
G956,32,246,2020/1/7 23:59,118.141778,24.539222,2,
HU30,0,154,2020/1/7 23:59,117.632838,24.544585,1,
H550,0,181,2020/1/7 23:59,118.176748,24.503138,1,
K551,33.3,91,2020/1/7 23:59,118.123041,24.526848,2,
G709,40.1,276,2020/1/7 23:59,118.1167,24.479278,1,
K527,51.8,122,2020/1/7 23:59,118.098491,24.591263,0,
G835,0,33,2020/1/7 23:59,118.166523,24.478363,2,
C791,60.5,293,2020/1/7 23:59,118.098975,24.434687,1,
G826,8.6,198,2020/1/7 23:59,118.09364,24.511978,1,
H993,0.1,245,2020/1/7 23:59,118.087603,24.469,2,
L627,55.5,279,2020/1/7 23:59,118.142733,24.479933,2,
7752,17.7,156,2020/1/7 23:59,118.039433,24.618303,1,
P993,46.7,162,2020/1/7 23:59,118.152785,24.518371,1,
12637,42.8,188,2020/1/7 23:59,118.149448,24.492433,1,
P188,0,10,2020/1/7 23:59,118.146525,24.544046,1,
R720,70.5,196,2020/1/7 23:59,118.112801,24.531208,2,
R205,10.8,336,2020/1/7 23:59,118.118485,24.495488,1,
R393,88.3,42,2020/1/7 23:59,118.568585,24.84906,1,
Q360,81,184,2020/1/7 23:59,118.149486,24.49322,2,
K670,12.9,247,2020/1/7 23:59,118.17308,24.492541,1,
L535,22.2,157,2020/1/7 23:59,118.153211,24.488518,2,
Q117,0,324,2020/1/7 23:59,118.147563,24.546,1,
